id,contents,key word
dawson0130, 沒國家授權 你看BNT賣不賣,BioNTech
SamsungNote9, 下單個200萬劑叫做認真想買？,BioNTech
polestar0505, 老實說 綠共覺得委屈可以不准不要准了又在攬功 妓女都沒這麼賤,BioNTech
chiaofan, 蟑螂就是蟑螂,BioNTech
bobosheep, 政府殺人 垃圾側翼,BioNTech
OAVAYAVAO, 每一篇都要提到授權 好啦 幹,BioNTech
vaca01, 蟑螂也太多了 垃圾側翼我就問 為什麼以色列 新加坡這種人口比我們少的國家能先買到疫苗?蟑螂不要再說中國擋了 因為光頭原本要透過林全跟上海買200萬劑,BioNTech
taco20, 整天想繞過代理商，腦子長綠黴喔,BioNTech
GianniC, 你有眼光早點砸錢投資  總代理你也拿的到人家有錢買總代理也不行  真的很丟臉,BioNTech
tatlacz, 蟑螂吃到蟑螂藥大崩潰了,BioNTech
Kaids, 1000萬就可以發新聞稿…當初如果買3000萬BNT應該更開心…,BioNTech
dawson0130, 還在以色列 去看看BNT要求以色列要做什麼 買多少 價格多少 有人功課都不做 就那邊放槍,BioNTech
cat77133, 去年國民黨就叫你正當商業行為找代理了，唬爛誰擋民進黨自己擋的。誰跟你講產能出來了,BioNTech
ksxo, 標題和內文不符XD,BioNTech
vaca01, 所以現在加上紓困 你花了多少錢? 會不會算帳?蟑螂真噁心 這種屁股都擦,BioNTech
yoshilin, 何時說不高興才是新聞吧？,BioNTech
vaca01, 還有臉提價格 為什麼政府採購貴郭董1億美金? 噁心蟑螂來擦一下這屁股我看看,BioNTech
eric6616, 大部份人都高興 不過有人還是會不高興,BioNTech
edman008ptt, 去年的確3000劑被質疑 但你開個兩200…是不是當人87,BioNTech
Kaids, 根據衛服部說法200萬就已讀不回，這應該不能說是開心吧？,BioNTech
ntp976516, 垃圾民進黨,BioNTech
lucien0410, 還是要上海復興點頭啊 之前誰卡的 很,BioNTech
eetie, 想到去年德國官員支支吾吾的樣子，反正$$,BioNTech
rebeliao, 喜歡中國就去 不要一直杵在台灣拉屎,BioNTech
kkrico, 有綠共 會戴帽,BioNTech
savishu, 花大錢?為何不代理新加坡?越南?等等,BioNTech
reality6699, 幹你娘的中屬德意志殖民地,BioNTech
savishu, 為何只代理台灣、香港、澳門、中國大陸因為大中華的英文叫Great China,BioNTech
a5178934, 內文是上海復星與BNT XD,BioNTech
zelkova, 200萬劑被已讀不回很正常吧 訂單太小了QQ,BioNTech
allan0926, 製造衝突的不就是德國疫苗？其他家有這樣嗎？,BioNTech
hy23, 某個正大教授表示： 幹 大內宣失敗,BioNTech
eemail, 德跟中經濟上蠻麻吉的 給中代理大中華其實合理 台灣本來就沒什國際地位 一堆人不要認為台GG晶片無敵就莫明認為我們國際地位突然提高很多 只是能見度提高 真有的收益及跟其他國的交流還早呢= =老是在那邊日韓新加坡都做得到什麼 我們怎做不到= = 你平常國際什的又沒出席 新來的卻想排前面 一堆人不知在想什把個人平常能出國玩莫名投射成國家很國際化 這根本兩碼子事,BioNTech
chuantzu, 不管怎麼說台灣又被中國吃豆腐還是有點不爽,BioNTech
JingJing00, 一堆人不知道估狗微軟fb蘋果大中華區也包台灣,BioNTech
fjucharlie, 腦一綠 智慧堪慮,BioNTech
austar, 中國別阻擾,BioNTech
richjf, 側翼：根本沒大中華地區!是小英反殺了，台灣贏了。,BioNTech
wario2014," ""台灣地區人""好了喇，不要太不滿",BioNTech
tomjanyan, 台灣的疫苗幾乎都是政府不用出錢的，民進黨真的噁心,BioNTech
Hirsch, 會這麼麻煩的原因就是復星把台灣列為中國的一部分這在外交上政府不可能接受但說實在的政府也能去買更多其他家就真的是當初太小看變種病毒,BioNTech
libur, 上面再講幹話嗎？台灣不出席國際？林老師勒垃圾支那國在那邊各種阻擋，你他媽面對國一次就知道。幹你馬的垃圾支那賤畜做垃圾事，好意思護航。操,BioNTech
samwu995, 打臉騙神跟時鐘,BioNTech
novus, 拿代理等於拿主權？我老闆品牌拿到大中華地區代理=我老闆統治中國了,BioNTech
fanfan0113, 啪啪響亮歐洲製造的啦 誰說是汁那貨,BioNTech
haydenhhh, 二戰完，大家對德國太仁慈,BioNTech
wondtty, 台灣地區  地區而已啦,BioNTech
ufjt0513, 我有看錯嗎？Bnt疫苗是上海復星跟bnt合作開發？,BioNTech
WTF5068, 為什麼企業買得到，政府買不到？然後企業買到了，說是政府大力支持，雞吧毛不要臉到極點,BioNTech
askey, 民進黨國會過半除非佔領立法院有啥過不了的,BioNTech
HLE0324, 我覺得為避免有心人士操作 CDC高官因親自24小時盯生產藥劑 並親自押送回台 以確保藥劑安全有效性,BioNTech
modernpkman, 整天豆腐吃不停。,BioNTech
zingy, 謝謝德國，也謝謝代理商。,BioNTech
cpkjacky, 上海復星兼任國台辦發言人當然是商業行為,BioNTech
henn, 側翼手臂已經準備好囉,BioNTech
luludream, 反正輪不到我,BioNTech
donoh183, 側翼手臂記得留給高端！國產愛你們,BioNTech
kuo0528, 總有鐵粉喜歡抹黑造謠 煩死了,BioNTech
gaygay5566, 對大中華區有意見就摔爛蘋果手機阿,BioNTech
snobbish, 我們覺青堅決不打講台灣地區的公司,BioNTech
FireAce1986, 我想知道如果他們知道台灣有很多民意代表跟側翼人士在抹黑他們，會不會提告？,BioNTech
tengfan, 到中國再來台灣的，柯粉也不敢打吧...,BioNTech
asan0917, 推文裡還有人在說小心添加，說加料就加料你以為買珍珠奶茶呀，到現在還相信這種話的人真的智商偏低,BioNTech
rayonwu, 五毛崩潰,BioNTech
iamsandyliu, 德國左派白痴！讓放毒出來的拿別人的購買權,BioNTech
wmtsung, 中華民國表示：台灣地區有啥問題？不然你是選哪國總統與立委？,BioNTech
steven24205, 推,BioNTech
wmtsung, 完全執政不敢獨立只想用中華民國體制就別在那邊靠北什麼地區來當提款機好嗎總統兼任高端發言人都沒問題了不是嗎,BioNTech
GUMIGUMI, 提加料的根本智障，是不是軟Q看太多,BioNTech
eeccms, 資進蟑螂黨：,BioNTech
